target,selected_low_capacity,profile,model,model_label,alpha,l1_ratio,feature,coefficient_standardized,coefficient_raw_scale,abs_coefficient_standardized,coefficient_rank,intercept_raw_scale
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,frac_C,180.726273731,33998.718161643,180.726273731,1,1093.588161372
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,frac_Mn,-7.945603717,-3292.682365066,7.945603717,8,1093.588161372
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,frac_Si,11.922780970,954.725724870,11.922780970,7,1093.588161372
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,frac_V,12.412445966,3492.575527966,12.412445966,6,1093.588161372
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,frac_N,-1.926018164,-2351.709413625,1.926018164,9,1093.588161372
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,frac_Nb,-23.224979726,-44134.039148680,23.224979726,4,1093.588161372
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,frac_W,-13.073012759,-4061.553880223,13.073012759,5,1093.588161372
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,frac_Al,95.595445835,18690.535362973,95.595445835,3,1093.588161372
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,frac_Ti,150.519755096,25905.924198155,150.519755096,2,1093.588161372
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,frac_C,180.228379103,33905.052870080,180.228379103,1,1094.397107136
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,frac_Mn,-7.999112172,-3314.856431584,7.999112172,8,1094.397107136
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,frac_Si,11.812939810,945.930110755,11.812939810,7,1094.397107136
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,frac_V,12.575989816,3538.592989126,12.575989816,6,1094.397107136
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,frac_N,-2.008384196,-2452.280101532,2.008384196,9,1094.397107136
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,frac_Nb,-23.160229184,-44010.994780338,23.160229184,4,1094.397107136
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,frac_W,-13.045229829,-4052.922215231,13.045229829,5,1094.397107136
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,frac_Al,95.322770707,18637.222738162,95.322770707,3,1094.397107136
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,frac_Ti,150.198235052,25850.587449360,150.198235052,2,1094.397107136
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001000000,0.500000000,frac_C,180.418319889,33940.785047373,180.418319889,1,1094.088733904
yield_strength_mpa,false,minor_element_linear,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001000000,0.500000000,frac_Mn,-7.978551225,-3306.335912729,7.978551225,8,1094.088733904
