target,target_label,profile,profile_role,method,split,n_rows,rmse,mae,r2,nrmse_train_std
elongation_pct,elongation in percent,composition_descriptors,admissible,extra_trees,train,403,13.234171409,8.823582109,0.660349999,0.582794991
elongation_pct,elongation in percent,composition_descriptors,admissible,extra_trees,val,112,18.432783973,14.823031988,0.110633689,0.811726993
elongation_pct,elongation in percent,composition_descriptors,admissible,extra_trees,test,104,16.972154094,14.016441928,0.359884793,0.747405038
elongation_pct,elongation in percent,composition_descriptors,admissible,hist_gradient_boosting,train,403,13.630037026,10.030617789,0.639726614,0.600227778
elongation_pct,elongation in percent,composition_descriptors,admissible,hist_gradient_boosting,val,112,20.024578435,15.666954264,-0.049604229,0.881825060
elongation_pct,elongation in percent,composition_descriptors,admissible,hist_gradient_boosting,test,104,15.812558224,13.198964892,0.444366416,0.696339758
elongation_pct,elongation in percent,common_element_fractions,admissible,knn,train,403,17.553304087,13.617535153,0.402475300,0.772997219
elongation_pct,elongation in percent,common_element_fractions,admissible,knn,val,112,21.208579932,17.605453869,-0.177394462,0.933965094
elongation_pct,elongation in percent,common_element_fractions,admissible,knn,test,104,19.124884502,14.995857372,0.187203444,0.842205117
elongation_pct,elongation in percent,common_element_fractions,admissible,extra_trees,train,403,13.234171409,8.823582109,0.660349999,0.582794991
elongation_pct,elongation in percent,common_element_fractions,admissible,extra_trees,val,112,17.979818981,14.576644605,0.153806981,0.791779713
elongation_pct,elongation in percent,common_element_fractions,admissible,extra_trees,test,104,19.935585616,15.703473143,0.116834271,0.877906072
elongation_pct,elongation in percent,common_element_fractions,admissible,hist_gradient_boosting,train,403,13.595293282,9.932503681,0.641560988,0.598697763
elongation_pct,elongation in percent,common_element_fractions,admissible,hist_gradient_boosting,val,112,21.926150512,17.272723509,-0.258414141,0.965564846
elongation_pct,elongation in percent,common_element_fractions,admissible,hist_gradient_boosting,test,104,22.316017821,17.319905497,-0.106668661,0.982733486
elongation_pct,elongation in percent,composition_process_context,admissible,knn,train,403,17.509596606,14.045363937,0.405447251,0.771072467
elongation_pct,elongation in percent,composition_process_context,admissible,knn,val,112,19.894977374,16.531205357,-0.036061909,0.876117801
elongation_pct,elongation in percent,composition_process_context,admissible,knn,test,104,19.295651219,15.874631410,0.172623668,0.849725194
elongation_pct,elongation in percent,composition_process_context,admissible,extra_trees,train,403,4.055422663,1.078629032,0.968105900,0.178589195
elongation_pct,elongation in percent,composition_process_context,admissible,extra_trees,val,112,16.753778880,13.115978888,0.265275763,0.737788419
elongation_pct,elongation in percent,composition_process_context,admissible,extra_trees,test,104,15.636380383,12.132081831,0.456678781,0.688581391
elongation_pct,elongation in percent,composition_process_context,admissible,hist_gradient_boosting,train,403,7.521482434,4.998786552,0.890290307,0.331224536
elongation_pct,elongation in percent,composition_process_context,admissible,hist_gradient_boosting,val,112,17.897818718,13.221417445,0.161507817,0.788168656
elongation_pct,elongation in percent,composition_process_context,admissible,hist_gradient_boosting,test,104,16.928031612,13.312995658,0.363208680,0.745462010
elongation_pct,elongation in percent,process_only_control,negative_control,knn,train,403,18.545532171,14.975053763,0.333014013,0.816692101
elongation_pct,elongation in percent,process_only_control,negative_control,knn,val,112,19.912235288,16.626413690,-0.037860154,0.876877790
elongation_pct,elongation in percent,process_only_control,negative_control,knn,test,104,19.707442986,16.448926282,0.136932486,0.867859324
elongation_pct,elongation in percent,process_only_control,negative_control,extra_trees,train,403,4.983022541,1.499090157,0.951846949,0.219438036
elongation_pct,elongation in percent,process_only_control,negative_control,extra_trees,val,112,22.834987512,16.938101128,-0.364898527,1.005587424
elongation_pct,elongation in percent,process_only_control,negative_control,extra_trees,test,104,18.035573584,12.064492521,0.277156750,0.794234986
elongation_pct,elongation in percent,process_only_control,negative_control,hist_gradient_boosting,train,403,10.455348208,7.880095147,0.788010128,0.460423579
elongation_pct,elongation in percent,process_only_control,negative_control,hist_gradient_boosting,val,112,16.448957248,13.261719485,0.291767990,0.724364948
elongation_pct,elongation in percent,process_only_control,negative_control,hist_gradient_boosting,test,104,19.463114120,15.468728441,0.158200098,0.857099781
elongation_pct,elongation in percent,formula_hash_shortcut,negative_control,knn,train,403,19.428083319,16.374636063,0.268022007,0.855557125
elongation_pct,elongation in percent,formula_hash_shortcut,negative_control,knn,val,112,22.085691554,19.163571429,-0.276793941,0.972590577
elongation_pct,elongation in percent,formula_hash_shortcut,negative_control,knn,test,104,23.112230424,19.928365385,-0.187047041,1.017796407
elongation_pct,elongation in percent,reference_shortcut,negative_control,knn,train,403,23.200974083,19.047458644,-0.043879930,1.021704424
elongation_pct,elongation in percent,reference_shortcut,negative_control,knn,val,112,30.124989650,25.277403274,-1.375486796,1.326618231
elongation_pct,elongation in percent,reference_shortcut,negative_control,knn,test,104,32.535389318,28.094647436,-1.352319064,1.432765326
elongation_pct,elongation in percent,dominant_element_shortcut,negative_control,knn,train,403,22.059133742,18.399509926,0.056341150,0.971421047
elongation_pct,elongation in percent,dominant_element_shortcut,negative_control,knn,val,112,21.901857206,18.222648810,-0.255627140,0.964495039
elongation_pct,elongation in percent,dominant_element_shortcut,negative_control,knn,test,104,23.799752413,19.746362179,-0.258719878,1.048072906
elongation_pct,elongation in percent,dominant_element_shortcut,negative_control,extra_trees,train,403,20.977323362,17.546966115,0.146628263,0.923781217
elongation_pct,elongation in percent,dominant_element_shortcut,negative_control,extra_trees,val,112,22.802833586,19.001421905,-0.361057408,1.004171457
elongation_pct,elongation in percent,dominant_element_shortcut,negative_control,extra_trees,test,104,22.467868496,18.752042221,-0.121780688,0.989420554
