x,y,z,t,signal,temperature_C,frame_index,row_index,col_index,laser_power_W,scan_speed_mm_s,spot_size_um
264.0,368.0,0.0,0.005833333333333334,575.0,1217.242032700225,175,368,264,285.0,960.0,67.0
268.0,368.0,0.0,0.005833333333333334,362.0,1172.8765404542144,175,368,268,285.0,960.0,67.0
272.0,368.0,0.0,0.005833333333333334,237.0,1135.0179249157677,175,368,272,285.0,960.0,67.0
276.0,368.0,0.0,0.005833333333333334,143.0,1092.9483177711356,175,368,276,285.0,960.0,67.0
260.0,376.0,0.0,0.005833333333333334,125.0,1082.267437985978,175,376,260,285.0,960.0,67.0
264.0,376.0,0.0,0.005833333333333334,152.0,1097.8641198244743,175,376,264,285.0,960.0,67.0
268.0,376.0,0.0,0.005833333333333334,121.0,1079.7166149741097,175,376,268,285.0,960.0,67.0
252.0,312.0,0.0,0.006666666666666667,107.0,1070.1804722621068,200,312,252,285.0,960.0,67.0
264.0,312.0,0.0,0.006666666666666667,111.0,1073.0090954733719,200,312,264,285.0,960.0,67.0
248.0,320.0,0.0,0.006666666666666667,116.0,1076.4246970775782,200,320,248,285.0,960.0,67.0
252.0,320.0,0.0,0.006666666666666667,161.0,1102.5377841312813,200,320,252,285.0,960.0,67.0
256.0,320.0,0.0,0.006666666666666667,145.0,1094.0630608713254,200,320,256,285.0,960.0,67.0
248.0,328.0,0.0,0.006666666666666667,137.0,1089.522369246041,200,328,248,285.0,960.0,67.0
252.0,328.0,0.0,0.006666666666666667,217.0,1127.4443183331066,200,328,252,285.0,960.0,67.0
256.0,328.0,0.0,0.006666666666666667,177.0,1110.3231239806616,200,328,256,285.0,960.0,67.0
264.0,328.0,0.0,0.006666666666666667,234.0,1133.9172823364986,200,328,264,285.0,960.0,67.0
272.0,328.0,0.0,0.006666666666666667,102.0,1066.514497451543,200,328,272,285.0,960.0,67.0
248.0,336.0,0.0,0.006666666666666667,136.0,1088.9389755037753,200,336,248,285.0,960.0,67.0
252.0,336.0,0.0,0.006666666666666667,198.0,1119.6794657179234,200,336,252,285.0,960.0,67.0
256.0,336.0,0.0,0.006666666666666667,179.0,1111.253718834256,200,336,256,285.0,960.0,67.0
260.0,336.0,0.0,0.006666666666666667,160.0,1102.0296438104958,200,336,260,285.0,960.0,67.0
