target,profile,method,split,n_rows,rmse,mae,r2,nrmse_train_std
Baseline-Total-Energy-Yield-kJ,trigger_numeric,hist_gradient_boosting,train,227,8.032428321,4.271419025,0.871722323,0.358158731
Baseline-Total-Energy-Yield-kJ,trigger_numeric,hist_gradient_boosting,val,84,23.264464720,15.428786309,0.322497647,1.037341490
Baseline-Total-Energy-Yield-kJ,trigger_numeric,hist_gradient_boosting,test,54,6.677139929,5.544137777,0.864727055,0.297727645
Baseline-Total-Energy-Yield-kJ,cell_trigger_safe,knn,train,227,7.853125742,5.634273167,0.877385320,0.350163791
Baseline-Total-Energy-Yield-kJ,cell_trigger_safe,knn,val,84,19.676695933,14.233960726,0.515349095,0.877366117
Baseline-Total-Energy-Yield-kJ,cell_trigger_safe,knn,test,54,7.165126376,5.971502758,0.844232195,0.319486520
Baseline-Total-Energy-Yield-kJ,cell_trigger_safe,extra_trees,train,227,0.000000000,0.000000000,1.000000000,0.000000000
Baseline-Total-Energy-Yield-kJ,cell_trigger_safe,extra_trees,val,84,19.242227898,11.944467261,0.536515317,0.857993580
Baseline-Total-Energy-Yield-kJ,cell_trigger_safe,extra_trees,test,54,6.496172024,5.205544825,0.871960189,0.289658449
Baseline-Total-Energy-Yield-kJ,cell_trigger_safe,hist_gradient_boosting,train,227,4.387800484,2.624362721,0.961721835,0.195648064
Baseline-Total-Energy-Yield-kJ,cell_trigger_safe,hist_gradient_boosting,val,84,14.121432576,10.782104634,0.750378383,0.629661937
Baseline-Total-Energy-Yield-kJ,cell_trigger_safe,hist_gradient_boosting,test,54,6.456454083,5.269053911,0.873521087,0.287887462
Baseline-Total-Energy-Yield-kJ,series_shortcut,knn,train,227,22.261708373,17.020130514,0.014686696,0.992629490
Baseline-Total-Energy-Yield-kJ,series_shortcut,knn,val,84,28.326155695,24.054692868,-0.004384391,1.263037724
Baseline-Total-Energy-Yield-kJ,series_shortcut,knn,test,54,29.998522413,24.705406068,-1.730421647,1.337607047
Baseline-Total-Energy-Yield-kJ,series_shortcut,extra_trees,train,227,17.079906621,14.437156327,0.419999521,0.761577625
Baseline-Total-Energy-Yield-kJ,series_shortcut,extra_trees,val,84,29.732962356,24.547690514,-0.106626436,1.325765963
Baseline-Total-Energy-Yield-kJ,series_shortcut,extra_trees,test,54,23.838945597,21.794524912,-0.724265249,1.062957074
Baseline-Total-Energy-Yield-kJ,series_shortcut,hist_gradient_boosting,train,227,17.351673610,14.901679579,0.401395320,0.773695470
Baseline-Total-Energy-Yield-kJ,series_shortcut,hist_gradient_boosting,val,84,29.612457285,24.255525715,-0.097674495,1.320392751
Baseline-Total-Energy-Yield-kJ,series_shortcut,hist_gradient_boosting,test,54,23.577078765,21.080467351,-0.686591779,1.051280668
Energy-Percent-Positive-Ejecta-%,mean,mean,train,227,26.760970398,22.185119231,0.000000000,1.000000000
Energy-Percent-Positive-Ejecta-%,mean,mean,val,84,28.757276619,23.957331804,-0.061196403,1.074597677
Energy-Percent-Positive-Ejecta-%,mean,mean,test,53,25.973035342,22.150822415,-1.202333517,0.970556559
Energy-Percent-Positive-Ejecta-%,cell_pretest,knn,train,227,19.604333734,14.082466216,0.463338477,0.732571855
Energy-Percent-Positive-Ejecta-%,cell_pretest,knn,val,84,25.068293579,20.715291686,0.193601329,0.936748302
Energy-Percent-Positive-Ejecta-%,cell_pretest,knn,test,53,28.319229044,21.903902718,-1.618186188,1.058228780
Energy-Percent-Positive-Ejecta-%,cell_pretest,extra_trees,train,227,7.625297506,2.993312304,0.918808630,0.284940994
Energy-Percent-Positive-Ejecta-%,cell_pretest,extra_trees,val,84,31.908097711,24.021795173,-0.306477954,1.192337095
Energy-Percent-Positive-Ejecta-%,cell_pretest,extra_trees,test,53,29.314580253,21.460087340,-1.805466166,1.095422917
Energy-Percent-Positive-Ejecta-%,cell_pretest,hist_gradient_boosting,train,227,13.537547293,9.956968143,0.744096481,0.505869073
Energy-Percent-Positive-Ejecta-%,cell_pretest,hist_gradient_boosting,val,84,28.256777309,21.959620377,-0.024579158,1.055895092
Energy-Percent-Positive-Ejecta-%,cell_pretest,hist_gradient_boosting,test,53,24.471542843,19.704834608,-0.955061292,0.914449008
